"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"124","College C","Non-STEM","Very good","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Maybe","Probably","Probably","Very good","Excellent","Excellent","Good","Excellent","Fair","Very good","No",NA,"Yes","Yes","Fair","Very Good","Fair","Good","N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","Not at all helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","No",NA,"3","3","Yes","1","0","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,NA,"No","Probably not","Probably","Probably","Very good","Very good","Very good","Very good","Excellent","Very good","Very good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,5,"Non-Underrespresented Group"
"125","College C","STEM","Good","Very good","Good","Ambivalent","Strongly Agree","Strongly Agree","Strongly Agree","Maybe","Probably not","Probably","Good","Good","Excellent","Excellent","Good","Good","Very good","Yes, and I attended","Somewhat Effective","No","No","Excellent","Excellent","Excellent","Excellent","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","10","6","Yes","5","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Non-profit and membership organizations",NA,"Other Occupations","Yes","Maybe","Probably not","Probably","Good","Good","Excellent","Excellent","Good","Very good","Very good","Ambivalent","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"126","College C","Non-STEM","Good","Good","Good","Agree","Agree","Ambivalent","Agree","Probably","Probably","Maybe","Fair","Good","Good","Fair","Good","Good","Good","No",NA,"Yes","Yes","Very Good","Excellent","Fair","Excellent","N/A","Somewhat helpful","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","Very helpful","Somewhat helpful","Yes","Yes","Very helpful","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","Somewhat helpful","Very helpful","Yes","Somewhat helpful","No","Yes","Somewhat helpful","0","6","Yes","2","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Probably","Probably","Maybe","Fair","Good","Good","Fair","Good","Good","Good","Agree","Ambivalent","Ambivalent","Agree","A major obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"127","College I","Non-STEM","Very good","Very good","Very good","Ambivalent","Agree","Agree","Agree","Definitely","Definitely","Probably","Excellent","Excellent","Good","Good","Excellent","Fair","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Fair","Very Good","Fair","Excellent","N/A","Very helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","Yes","Very helpful","0","9","Yes","4","1","Returning to, or continuing in, predoctoral employment","Education",NA,"Education, Training, and Library Occupations","Yes","Probably","Definitely","Probably","Excellent","Excellent","Good","Good","Excellent","Very good","Very good","Ambivalent","Agree","Agree","Agree","A major obstacle","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"128","College B","STEM","Excellent","Good","Very good","Strongly Agree","Agree","Agree","Strongly Agree","Probably","Probably","Probably","Very good","Very good","Good","Excellent","Excellent","Fair","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Good","Excellent","Excellent","Excellent","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","No",NA,"99","10","Yes","6","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Very good","Very good","Good","Excellent","Excellent","Good","Very good","Strongly Agree","Agree","Agree","Strongly Agree","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"129","College C","STEM","Excellent","Very good","Excellent","Disagree","Agree","Agree","Agree","Probably","Probably","Probably","Very good","Very good","Excellent","Good","Good","Fair","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Good","Excellent","Very Good","Excellent","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Very helpful","7","0","Not applicable","1","1","Negotiating with one or more specific organizations","Public Administration (Government)","National Security","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Good","Very good","Excellent","Very good","Very good","Fair","Good","Disagree","Agree","Agree","Agree","A major obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,1,"Non-Underrespresented Group"
"130","College C","Non-STEM","Excellent","Good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Probably","Excellent","Excellent","Excellent","Excellent","Very good","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Excellent","Excellent","Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","Yes","Very helpful","2","12","Yes","8","1","Negotiating with one or more specific organizations","Education","4-year college or university","Scientists, Social Scientists","No","Definitely","Definitely","Probably","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Ambivalent","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"131","College B","STEM","Excellent","Very good","Good","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Definitely","Probably","Definitely","Excellent","Excellent","Excellent","Good","Very good","Very good","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Very Good","Good","Very Good","Good","Not very helpful","Somewhat helpful","Not very helpful","N/A - I did not receive advice on this","Somewhat helpful","Not at all helpful","Yes","No","N/A - I did not receive advice on this","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Somewhat helpful","No","Yes","Somewhat helpful","11","1","No","0","0","Seeking position but have no specific prospects","Education",NA,"Education, Training, and Library Occupations","Yes","Definitely","Probably","Definitely",NA,NA,NA,NA,NA,NA,NA,"Strongly Agree","Strongly Agree","Agree","Strongly Agree","A minor obstacle","A major obstacle","A minor obstacle","Not an obstacle","A minor obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"132","College I","Non-STEM","Excellent","Very good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Very good","Very good","Excellent","Very good","Excellent","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Very Good","Very Good","Very Good","Excellent","N/A","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Not very helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Very helpful","Yes","Yes","Somewhat helpful","0","20","Yes","5","1","Seeking position but have no specific prospects","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Definitely","Maybe","Definitely","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A major obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"133","College C","Non-STEM","Very good","Fair","Good","Agree","Ambivalent","Ambivalent","Ambivalent","Maybe","Probably","Maybe","Very good","Very good","Very good","Good","Very good","Poor","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Good","Poor","Very Good","N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","Not very helpful","Not at all helpful","Yes","Yes","Very helpful","Not very helpful","Somewhat helpful","Not very helpful","Not at all helpful","Not at all helpful","Yes","Somewhat helpful","Yes","No",NA,"2","4","Yes","1","0","Seeking position but have no specific prospects","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Maybe","Maybe","Probably not","Good","Very good","Very good","Fair","Good","Poor","Good","Agree","Ambivalent","Ambivalent","Ambivalent","A major obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"134","College C","Non-STEM","Good","Good","Good","Strongly Agree","Ambivalent","Strongly Agree","Strongly Agree","Maybe","Probably not","Probably not","Good","Good","Good","Good","Good","Poor","Good","Yes, and I attended","Neither Effective nor Ineffective","Yes","No","Fair","Good","Fair","Fair","Fair","Somewhat helpful","Somewhat helpful","Not very helpful","Not at all helpful","Not at all helpful","Not at all helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Somewhat helpful","Not at all helpful","Not very helpful","Yes","Somewhat helpful","No","No",NA,"0","10","Yes","22","5","Seeking position but have no specific prospects","Education",NA,"Education, Training, and Library Occupations",NA,"Maybe","Probably not","Probably not","Good","Good","Good","Good","Good","Fair","Good","Strongly Agree","Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"135","College C","STEM","Very good","Good","Very good","Strongly Agree","Strongly Agree","Agree","Agree","Probably","Probably","Definitely","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Good","Good","Fair","Fair","Fair","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Very helpful","Yes","Yes","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","No",NA,"No","Yes","Somewhat helpful","5","6","No","0","1","Other - Specify:","Other","Health Care","Computer and Mathematical Occupations","Yes","Probably","Probably","Definitely","Very good","Very good","Very good","Good","Good","Very good","Very good","Strongly Agree","Agree","Agree","Agree","A major obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not applicable",2,1,2,1,"Non-Underrespresented Group"
"136","College B","STEM","Excellent","Excellent","Excellent","Agree","Strongly Agree","Agree","Strongly Agree","Probably","Probably","Probably","Very good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","N/A","Excellent","Very Good","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","7","13","No","3","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Very good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,1,"Non-Underrespresented Group"
"137","College F","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Probably","Probably","Probably","Very good","Very good","Good","Good","Very good","Fair","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","No","Good","Very Good","Excellent","Very Good","Excellent","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful","3","7","Yes","1","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Very good","Good","Very good","Good","Very good","Fair","Very good","Agree","Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,1,"Non-Underrespresented Group"
